a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
field-representable-algebras-have-fp-simple-envelopes	Over any field K, every finitely generated K-algebra that embeds in matrices over a field extension of K (tensored with a free algebra) embeds in a finitely presented simple K-algebra
finitary-extensions-preserve-lift-presentability	Adding states whose sections at some fixed depth lie in a lift-presented sub-automaton keeps the relator kernel a finitely generated lift ideal, with the same relators
finitary-mixing-of-fp-highly-transitive-groups-is-fp	If finitely presented permutation groups G_1..G_n each contain the finitary symmetric group of their set and have finitely generated point stabilizers, then G_1 x ... x G_n together with all finitary permutations of the disjoint union is finitely presented
finitary-mixing-preserves-type-f-m	Permutation groups containing the finitary symmetric group whose finite-set stabilizers are of type F_m stay in that class under finitary mixing, proved by Brown's criterion on the balanced slice of the infinite cube of recolorings
finitary-perturbations-give-isolated-quotients	Finitary perturbations of a faithful action of a torsion-free group never produce a new quotient, but finitary perturbations of a highly transitive finitely presented quotient produce isolated quotients as close to the group as that quotient
finitary-steinberg-extensions-by-oligomorphic-actions-are-fp	The finitary Steinberg (or elementary) group over Z indexed by the dyadic rationals, extended by Thompson's F, is finitely presented and contains every GL_n(Z)
finite-commutator-wachter-weiss-groups-are-not-fp-proof	Restrict to the encoding subtree; the kernel is a power of the finite commutator group; the reduction group sees only the adder there, so Bieri–Strebel applies to it
finite-commutator-wachter-weiss-groups-are-not-fp	With a finite commutator group, the Wächter–Weiß reduction groups are PSPACE-complete, locally-finite-by-Z and not finitely presented; the automaton groups are locally-finite-by-(check-mark group)
finite-cycle-block-commutators-reduce-to-monodromy	A commutator with a finite block cycle can only change one block by a commutator with the cycle monodromy, so the finite analogue of the telescoping trick gives nothing
finite-double-coset-space-with-free-minimal-coset-sft	Some finitely presented group Λ and finitely generated Δ ≤ Λ with Δ\Λ/Δ finite carry a coset SFT on Λ/Δ on which Λ acts freely and minimally
finite-edge-closure-via-free-torsion-full-hosts	Put the vertex group in a full Cantor host where both edge groups act freely, conjugate them by gluing fundamental domains, and absorb the edge by a centralizing HNN extension
finite-edge-graphs-of-full-cantor-subgroups-lie-in-b-a-proof	Add the vertices along a maximal tree and then the remaining edges, conjugating each edge into place inside the full host and absorbing it by a centralizing HNN extension over a finite subgroup
finite-edge-graphs-of-full-cantor-subgroups-lie-in-b-a	A finite graph of groups with finite edge groups lies in B_A when its vertex groups sit in one full clopen-transitive Cantor group of B_A with matching edge strata, so every finite-edge graph of subgroups of Thompson's T does
finite-index-edge-hnn-embeds-in-fp-simple-group	An HNN extension of a finitely presented group over finite-index subgroups that acts faithfully on its Bass-Serre tree embeds in a finitely presented simple group
finite-index-in-a-full-group-is-local-fullness-at-one-cone	A compressible subgroup of a purely infinite minimal full group contains its commutator subgroup exactly when it contains the commutator subgroup of the local full group on one clopen set; tree groups fail this because their rigid stabilizers are equicontinuous
finite-index-in-a-kernel-fg-near-host-passes-both-germ-gates	A near shift group of finite index in a finitely presented near group with finitely generated near-index kernel passes both germ gates
finite-index-odometer-near-shift-groups-germ-gate-proof	Finite index transfers F_infinity and a finitely generated index kernel, and bounded displacement forces linear growth
finite-index-odometer-near-shift-groups-pass-the-germ-gate	A fixed-base enumeration whose near shift group has finite index in the odometer Nekrashevych group gives a finitely presented shell germ group, and every fixed-base enumeration of a non-virtually-cyclic input must stretch
finite-k-graph-boundary-groupoid-standard-facts	Standard facts on groupoids of finite higher rank graphs - Li's boundary groupoid is the Kumjian–Pask path groupoid, products go to products, and aperiodic graphs give effective Cantor groupoids
finite-k-graph-full-groups-have-exponential-word-problem	Finitely generated subgroups of topological full groups of aperiodic finite higher rank graphs have single-exponential word problem, so no such host class, in any rank, is a universal Boone–Higman container
finite-k-graph-standard-facts-proof	Proof of the k-graph standard facts from Li's own definitions (read at source) - maximal characters are the infinite paths, germs of cd^{-1} are Kumjian–Pask arrows, and products, topology and effectiveness are elementary
finite-nucleus-rsg-abelian-stabilizers-have-rank-one-germs	In a rational similarity group with finite nucleus, a free abelian group fixing a rational point acts through a germ group of rank at most one, so all but one direction of it is locally trivial there
finite-seed-telescope-hosts-are-full-contracting-rsgs	The one-chain self-simulating host ⟨V, θ_S⟩ lies in a finitely presented full contracting RSG exactly when the seed group ⟨S⟩ is finite; for infinite seeds it lies in no contracting RSG at all
finite-seed-telescope-hosts-contracting-rsg-proof	Proof that N_H is a finite nucleus of injections for finite seed groups H, so the one-chain telescope host lies in a finitely presented full contracting RSG, and that infinite seeds force an infinite nucleus
finite-state-li-coded-full-groups-have-exponential-word-problem	Finitely generated subgroups of full groups of effective Li-coded groupoids with N^k degrees and finite-state unit data have word problem in time 2^(C l^2), so no such host class is universal
finite-subgroups-of-full-cantor-groups-conjugacy-criterion-proof	Glue a D-local map between fundamental domains of the stabilizer strata along the two actions, and use fullness
finite-subgroups-of-full-cantor-groups-conjugacy-criterion	In a full clopen-transitive group of Cantor homeomorphisms, two finite subgroups with clopen fixed sets are conjugate along an isomorphism exactly when their stabilizer types agree; free finite subgroups are always conjugate, and extend to every finite overgroup
finite-type-operad-groups-split-over-a-label-kernel	In a finitely generated operad with transformations, transformations act on the finite sets of classes of each degree, so the transformation groups are residually finite modulo a class-trivial part, and that part only contributes a label kernel of the operad group
finitely-coded-cantor-actions-give-type-a-hosts	Any group acting faithfully in the full group of a finitely coded, piecewise strongly connected Cantor groupoid lies in the type (A) class, provided the Cuntz-stabilized full group is finitely presented
finitely-coded-cantor-actions-type-a-proof	The degree-category comparison lemma never used finiteness of the unit groups, so the clopen type (A) argument runs for any finitely coded groupoid with a finitely presented stabilized full group
finitely-coded-groupoid-unit-groups-are-residually-finite	In an effective finitely coded Li groupoid satisfying condition (F), every unit group embeds in a product of finite symmetric groups of cylinders, so it is residually finite
finitely-coded-unit-groups-act-residually-finitely	In a finitely coded Cantor groupoid of any rank, each unit group acts on its object boundary through a residually finite group, so the unit slot of the coded-host machine carries only residually finite inputs
finitely-generated-linear-groups-satisfy-boone-higman-proof	Split by characteristic and use the reviewed polynomial-host theorems in each
finitely-generated-linear-groups-satisfy-boone-higman	Every finitely generated linear group over any field embeds in a finitely presented simple group
finitely-generated-weakly-branch-group-embeds-in-thompson-v	Some finitely generated weakly branch group embeds in Thompson's group V
fixed-base-finite-subgroups-cylinder-count-proof	Torsion in B fixes clopen sets, a free finite action has a clopen fundamental domain, and cylinder counts mod h-1 are B-invariant
